,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
2462,10982,4539,927.5,187.63960874080655,37.96077926471523,0.3310356335572024,34.36465739305229,1.5403079898775969,1294.0,0.7167697063314006,0.2782738095238095,0.2524801587301587,0.8763392857142857,0.1654631253543084,0.4067715886763828,0.6335552,0.27662483,0.24832274,0.41141814,0.5735402,0.482571,0.65980566,0.47264466,0.40045348,0.58129656,0.39647615,0.61662275,0.44046715,0.35941756,0.19662102,0.37835094,1,0.009034815029575633
2463,11143,4403,1001.5,224.7523066997528,50.43794245267636,0.2491451871975481,35.70923415661929,1.77549187630518,1509.5,0.6634647234139552,0.1987179487179487,0.1934389140271493,0.9038084464555054,0.2121094754179662,0.4605534446923248,0.67896074,0.3141909,0.29040465,0.46568495,0.62698597,0.47878966,0.69106334,0.51865,0.45989704,0.6496184,0.44499856,0.6649689,0.48817006,0.38891906,0.20559818,0.43274635,1,0.009370187056672313
2464,11193,4540,1776.5,259.0365775823593,37.77086885741849,0.3327000673911803,47.55954216791849,1.5364502280652963,2358.5,0.7532329870648581,0.1993654151242729,0.1930195663670016,0.9041248016922264,0.2130349136338709,0.4615570534981249,0.69637823,0.24875928,0.21313818,0.4077598,0.58646584,0.48490277,0.7314349,0.515743,0.3906425,0.6049435,0.39854252,0.6813479,0.45673025,0.4186072,0.17987534,0.36999223,1,0.011447135090690425
2465,11171,4483,2599.5,314.6345565319061,38.08228665652949,0.3299794134645264,57.53074131748222,1.54277118063854,3202.0,0.8118363522772898,0.245171202809482,0.2302458296751536,0.886369622475856,0.1754695830869923,0.4188908964002349,0.7060039,0.28914252,0.24419491,0.44824907,0.6179712,0.49165854,0.7434286,0.5258117,0.43905377,0.6464977,0.43389428,0.6885873,0.4847011,0.44184768,0.21671657,0.41400287,1,0.010541400516653168
2466,11396,4487,976.5,190.26702511310577,37.0727504813318,0.3389651550282164,35.26072057451303,1.5221849114796224,1332.0,0.7331081081026044,0.1928721174004193,0.1914744933612858,0.9044025157232704,0.2182339638268332,0.467155181740322,0.69505477,0.2702432,0.23514198,0.4341389,0.6092978,0.48190847,0.72285545,0.5210762,0.4222609,0.62818587,0.41878414,0.68199545,0.47526872,0.41618523,0.19195917,0.3974186,1,0.01129709014431927
2467,11427,4540,836.5,164.3259003162384,32.28093426708848,0.3892815031384063,32.635331761312976,1.4204078257206132,1068.5,0.7828731867030149,0.22818614489688,0.2181385510312005,0.8919354838709679,0.1889924468963033,0.4347326154043464,0.64100975,0.24767564,0.2193563,0.3853958,0.5551282,0.47115228,0.6677134,0.4686985,0.3675059,0.55894774,0.37545353,0.63002795,0.4261487,0.3531748,0.1723584,0.34882212,1,0.010201330596666912
2468,11611,4497,804.5,163.78174424171448,33.34302019456177,0.3768815944348033,32.00501857114659,1.4435853843187296,1058.5,0.7600377893173356,0.2300531914893617,0.2167553191489361,0.8929521276595744,0.2224992612293144,0.4716982735068196,0.5831171,0.24995317,0.23094514,0.36912966,0.533416,0.4498877,0.5922254,0.4254654,0.35090163,0.5274319,0.35586473,0.59082264,0.40058458,0.29238242,0.16895671,0.33308798,1,0.012377222007461405
2469,1671,4635,1711.0,245.05382251739505,35.09723900060548,0.3580444209319955,46.67454189429033,1.481073069529491,2134.0,0.8017806935295138,0.2545787545787545,0.2362637362637362,0.8836996336996338,0.1788407507688227,0.4228956736227301,0.69971544,0.20432436,0.18414013,0.35769993,0.5372712,0.5444001,0.77077854,0.5326685,0.3336411,0.5501509,0.35986522,0.6323905,0.42140317,0.42066175,0.16804223,0.31952152,1,0.010130191075767618
2470,1485,4685,520.5,158.46803629398346,48.24614510353275,0.2604637238300845,25.74337163299812,1.736486126742129,816.5,0.637477036122015,0.2096618357487923,0.1942028985507246,0.9044444444444444,0.2405241662582557,0.4904326317224984,0.68421966,0.16911143,0.15565966,0.31339726,0.49422458,0.5310821,0.739445,0.52076143,0.28237665,0.49858865,0.32295617,0.63288695,0.3862665,0.39947003,0.12807931,0.27413097,1,0.010531429478683456
2471,1703,4691,3435.5,267.6396089792252,20.850228582257035,0.6026970191115542,66.13784435508654,1.1415512630993376,3630.5,0.9462883900263152,0.2656339644291451,0.2455536431440045,0.8792312105565118,0.1919009123947639,0.438064963669504,0.6898868,0.29505292,0.27292922,0.45208868,0.62043387,0.5341455,0.73991376,0.5353873,0.4439846,0.64588165,0.43433517,0.63501,0.48400003,0.41565743,0.23010063,0.41754252,1,0.013071839027563018
