,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
784,872,2087,2509.5,290.20814979076385,33.56077712876781,0.3744362225610054,56.52605273246037,1.4482916040449136,2994.5,0.8380364000639906,0.3354037267080745,0.3101449275362319,0.8474534161490683,0.0968364560695103,0.3111855653296121,0.613031,0.3245497,0.25778255,0.44023064,0.56280553,0.4190343,0.66999185,0.44621965,0.4434408,0.6034918,0.4243351,0.6568645,0.44573027,0.38982627,0.27362886,0.42110172,1,0.010428834202487892
785,820,2098,1465.0,227.68123948574063,35.384810111542215,0.3551346064782733,43.18907191682884,1.487128317159479,1830.0,0.8005464480830572,0.3895173453996984,0.353318250377074,0.8269607843137257,0.0961865486419652,0.3101395631678829,0.5155388,0.29691735,0.23213477,0.3806595,0.499063,0.34645924,0.5397337,0.34694922,0.37546697,0.5202512,0.36582407,0.60189545,0.38262293,0.26903358,0.21804693,0.35895115,1,0.01138112050601877
786,885,1924,1570.0,233.53910338878632,34.73918013458015,0.3617348067972389,44.71002220122693,1.4734988151169677,1847.0,0.8500270709212235,0.2613636363636363,0.2568181818181818,0.8720454545454545,0.1622054730983302,0.402747406072752,0.6352546,0.35408947,0.27918738,0.4776546,0.6211813,0.3932189,0.65247446,0.44024727,0.4769406,0.6461968,0.4542531,0.682678,0.4795425,0.3514959,0.23619471,0.45115227,1,0.009898172640220252
787,970,1922,2267.5,211.15432786941528,19.66313128017107,0.6390828823369178,53.73146813262207,1.1085782357989309,2423.0,0.9358233594678672,0.3313061872025383,0.3096245372818614,0.847355896351137,0.1384532930486221,0.3720931241619793,0.6618162,0.3953216,0.31348893,0.5170861,0.6489702,0.439379,0.70305514,0.47331038,0.5228379,0.68302125,0.49359727,0.6848698,0.5087893,0.40473306,0.30397636,0.49785545,1,0.009800989354112659
788,986,2042,2733.0,256.7106761932373,24.1128325178734,0.5211486707335851,58.98952174548629,1.227620475647284,3005.0,0.9094841930086208,0.5379953379953379,0.448018648018648,0.784988344988345,0.0655009481582908,0.2559315302151941,0.7030423,0.38970295,0.31527594,0.5216122,0.6442662,0.4741677,0.77194816,0.53211075,0.5302186,0.69123465,0.5049617,0.7049267,0.519865,0.48384777,0.3336232,0.5080705,1,0.007427142365507124
789,951,2059,4261.5,336.40916085243225,26.55664050338427,0.4731912763109914,73.66077870813542,1.288328386452105,4768.0,0.8937709731524879,0.4622362088115512,0.397815623843021,0.8075342465753425,0.0737130145416269,0.2715014079919788,0.6948352,0.39725098,0.3243661,0.52370036,0.64395833,0.46430612,0.760426,0.52098256,0.5307526,0.69213504,0.5062063,0.6957586,0.5176734,0.453564,0.32522142,0.50960386,1,0.007543322707542052
790,947,1948,516.5,100.04163014888763,19.377207672125948,0.6485129760042775,25.64426300082948,1.1004887456329917,563.0,0.9174067495396552,0.243076923076923,0.243076923076923,0.8784615384615384,0.2298130177514792,0.4793881702247973,0.6805764,0.36363354,0.2763125,0.5110036,0.6552904,0.4128609,0.7161263,0.48327592,0.5185157,0.6911176,0.48396194,0.7090957,0.51451874,0.41124457,0.25820145,0.48512214,1,0.008883949654347781
791,1212,1972,3421.0,258.911687374115,19.595224162150103,0.6412976197839887,65.9981248410816,1.1066623288217896,3731.0,0.9169123559342888,0.4178082191780822,0.3748611625323954,0.816864124398371,0.079440321375069,0.2818515945938022,0.78006506,0.4113404,0.34280902,0.5751823,0.70574427,0.60251063,0.8549136,0.63475233,0.59638536,0.77982897,0.55406785,0.7385344,0.576141,0.5970872,0.36508486,0.56336284,1,0.00813066143666727
792,1130,2001,2656.0,271.6812390089035,27.7901715471141,0.4521875870037631,58.152594360153806,1.317909602944246,3079.5,0.8624776749444311,0.3847170809095717,0.3540454785827605,0.8260444209413008,0.0923330502329356,0.3038635388343517,0.7020195,0.34233707,0.28756955,0.48853433,0.6316291,0.48734936,0.7565273,0.53575116,0.4927198,0.67127395,0.47182125,0.70748585,0.5030741,0.47914815,0.28491342,0.467235,1,0.010404891632000963
793,1193,2102,2636.0,264.71067690849304,26.582603364600445,0.4727291169323208,57.93323260376456,1.2889579939361997,2971.5,0.8870940602359513,0.4270833333333334,0.3774801587301588,0.8162202380952384,0.0799129041084026,0.2826887053074506,0.73168707,0.35657755,0.29971954,0.49621043,0.6226971,0.49449554,0.79044086,0.5651778,0.50243646,0.67863137,0.48606777,0.7306669,0.5071052,0.52852005,0.28537574,0.48100576,1,0.009210746116436568
