,xc,yc,A,P,Compactness,Circularity,Effect_diameter,Shape_index,Hull Area,Solidity,Contrast,Dissimilarity,Homogeneity,ASM,Energy,NDVI,PVI1,PVI2,SAVI,TSAVI2,NDGI,ARVI,NDCI,MSAVI,NLI,RDVI,GNDVI,OSAVI,MSR,EVI,EVI2,Target,adnormal index
2656,5674,3453,562.5,144.12488985061646,36.92797133170319,0.3402940958021517,26.76186174229157,1.5192097313359707,802.5,0.700934579430518,0.3705128205128205,0.3525641025641026,0.8255128205128204,0.1319732084155161,0.3632811699159703,0.51992095,0.37136146,0.32645452,0.42501858,0.552343,0.42794704,0.5287852,0.36934775,0.42054027,0.5802102,0.406613,0.5552826,0.40855068,0.25585356,0.23729312,0.4032259,1,0.013623399285051699
2657,5561,3571,277.5,69.69848418235779,17.505869178894848,0.7178375712432796,18.79691393990002,1.0460003935907272,311.0,0.8922829581706662,0.246031746031746,0.238095238095238,0.8817460317460317,0.1502652501329749,0.3876406198181183,0.53026694,0.3382585,0.28202146,0.41017798,0.54552865,0.4343316,0.55053693,0.36602277,0.4018577,0.55835676,0.39218917,0.5552539,0.4046386,0.25484857,0.23583233,0.3846203,1,0.015465122938301771
2658,5562,3486,485.0,93.94112467765808,18.19574207323988,0.6906214961448011,24.849973424463737,1.066411683798872,534.5,0.907390084173856,0.2641129032258064,0.2560483870967742,0.8727822580645161,0.1346335197710718,0.3669244060717027,0.6167719,0.41346118,0.36766973,0.5058526,0.6275102,0.4795487,0.6499994,0.45715162,0.50989,0.6617291,0.4834003,0.6133422,0.48543206,0.34005198,0.30580676,0.4884645,1,0.014501264875902167
2659,5564,3530,348.5,75.35533821582794,16.293908170613715,0.7712312161326697,21.06475685452372,1.0091428344985771,374.0,0.9318181817932668,0.2692307692307692,0.2692307692307692,0.8653846153846154,0.1436260355029585,0.3789802574052619,0.60886943,0.39574796,0.35922396,0.48879877,0.61749,0.47256112,0.63688755,0.45484984,0.4884548,0.64619446,0.46703345,0.6077742,0.47396162,0.323987,0.27724928,0.46787336,1,0.015028974071811578
2660,5772,3465,628.0,129.88224935531616,26.862099836509405,0.4678104351720166,28.27710087851444,1.295716496566127,797.0,0.787954830604919,0.2903846153846154,0.2762820512820512,0.8632692307692307,0.1418458251150558,0.376624249239286,0.49169838,0.35107875,0.2776425,0.39701772,0.52288383,0.41867688,0.5128416,0.33233258,0.39325443,0.55230254,0.3800331,0.5388387,0.38344932,0.24639101,0.24964285,0.37609118,1,0.012651852276069594
2661,5672,3495,468.0,92.08326017856598,18.118219668658742,0.6935764575044532,24.41057367076932,1.064137551754304,517.5,0.9043478260694812,0.2420634920634921,0.2373015873015873,0.8818253968253967,0.2130196523053666,0.4615405207621175,0.54053336,0.3529884,0.30027196,0.4286822,0.5632922,0.44176528,0.5578473,0.38373062,0.42600036,0.58887464,0.4072907,0.56540203,0.4194668,0.275023,0.24033439,0.40400776,1,0.012430110126925948
2662,5768,3360,48.5,33.899494767189026,23.69434526255119,0.5303531485007906,7.858251581595959,1.216920941619285,53.5,0.9065420559053192,0.1701149425287356,0.167816091954023,0.9163218390804596,0.3660694939886379,0.6050367707740066,0.41314036,0.28662834,0.2192408,0.31708208,0.45917898,0.3737641,0.39296088,0.25997916,0.30441728,0.4734227,0.30075163,0.49015865,0.31556308,0.17333867,0.15059254,0.28770334,1,0.0072436063315912125
2663,5769,3393,514.0,126.225395321846,30.997763470518144,0.4053960417518067,25.582125126616702,1.391890878092751,684.0,0.7514619882931073,0.2531746031746032,0.2404761904761905,0.8810317460317462,0.1834416729654825,0.4283009140376455,0.5070046,0.35866025,0.30553642,0.41226852,0.5421595,0.43176863,0.5219011,0.35157907,0.40760514,0.56969273,0.39303365,0.54006714,0.39792877,0.24677366,0.23715399,0.38894287,1,0.015354649567863525
2664,5878,3530,202.5,59.21320307254791,17.31458477993902,0.7257679449675505,16.05711704537494,1.0402699401690871,223.5,0.9060402684158372,0.2337662337662338,0.2294372294372294,0.8857142857142859,0.1471299263507056,0.3835751899572046,0.4561556,0.3082234,0.24075429,0.35388988,0.48493734,0.4037421,0.48195428,0.29510394,0.34419343,0.49767703,0.33828795,0.50804013,0.34842664,0.2036537,0.21611796,0.32852024,1,0.016018461956152853
2665,5773,3508,302.0,76.76955199241638,19.51511295669262,0.6439302012654846,19.60913925979463,1.1043978266380048,349.0,0.8653295128691882,0.2476923076923076,0.2415384615384615,0.8798461538461537,0.1576710059171597,0.3970780854154001,0.51692873,0.3192116,0.25800982,0.3935127,0.5323863,0.4267845,0.5423109,0.3535948,0.38707826,0.54851174,0.37444347,0.551072,0.39233142,0.25421277,0.21935892,0.36650798,1,0.01606547942261137
